players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Asmir Begovic,BIH,GK,Everton,34,18077,3,3,270,3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,,0,0,0,0,0,0,0,0,0,0,90,7.9,3,0,,35,2,8,35,84,41.7,45,39,8,0,4,0,4,1,3,96,0,0,,0,0,135,82,0,27,27,100,0
Jack Butland,ENG,GK,Crystal Palace,28,45000,9,8,765,8.5,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,,0,0,0,0,0,0,0,0,0,0,85,22.4,8,1,45,29,12,13,205,279,73.5,188,91,25,0,16,0,4,1,1,295,0,0,,0,0,577,211,0,138,137,99.3,0
Willy Caballero,ARG,GK,Southampton,39,17115,2,2,180,2,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,,0,0,0,0,0,0,0,0,0,0,90,5.3,2,0,,19,2,5,39,59,66.1,41,18,5,0,1,0,2,1,0,68,0,0,,0,0,224,114,0,34,34,100,0
Karl Darlow,ENG,GK,Newcastle Utd,30,25000,8,8,720,8,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,31,0,0,,0,0,0,0,0,0,0,0,0,0,90,21.1,8,0,,26,10,15,152,253,60.1,152,101,37,0,16,1,7,1,1,269,0,0,,0,0,546,294,0,94,93,98.9,0
Martin Dubravka,SVK,GK,Newcastle Utd,32,38077,26,26,2340,26,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,106,0,0,,2,0.08,0,0,0,0,0,0,0,0,90,68.4,26,0,,3,29,35,535,845,63.3,503,342,105,0,59,5,18,5,2,897,0,0,,0,0,2277,1186,0,325,325,100,0
Ederson,BRA,GK,Manchester City,27,65000,37,37,3330,37,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,2,5,0,0,0,0,0,0,1,0,1,7,0,0,0,1,0,121,0,0,,4,0.11,0,0,0,0,0,0,0,0,90,97.4,37,0,,0,97,26,976,1089,89.6,913,176,37,2,93,1,16,6,1,1148,0,0,,0,0,2840,1749,0,722,717,99.3,0
Lukasz Fabianski,POL,GK,West Ham,36,65000,37,37,3330,37,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,142,0,0,,3,0.08,0,0,0,0,0,0,0,0,90,97.4,37,0,,0,60,50,636,1006,63.2,657,349,69,0,76,0,31,5,3,1078,0,0,,0,0,2341,1215,0,414,410,99,0
Alvaro Fernandez,ESP,GK,Brentford,23,8462,12,12,1080,12,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,68,0,0,,0,0,0,0,0,0,0,0,0,0,90,31.6,12,0,,19,13,24,322,500,64.4,382,118,35,0,34,1,17,7,2,533,0,0,,0,0,1204,730,0,273,273,100,0
Fraser Forster,ENG,GK,Southampton,33,70000,19,19,1710,19,0,0,0,0,0,1,0,0,0,,0,0,,,,0,1,0,0,1,3,0,0,0,0,1,4,1,0,0,3,0,0,0,0,0,79,0,0,,2,0.11,0,0,0,0,0,0,0,0,90,50,19,0,,14,25,35,347,596,58.2,391,205,64,0,45,2,23,5,1,679,0,0,,0,0,1646,862,0,266,265,99.6,0
Ben Foster,ENG,GK,Watford,38,30000,26,26,2340,26,0,1,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,3,7,0,0,0,0,0,6,2,0,1,4,0,0,0,1,0,131,0,0,,7,0.27,0,0,0,1,0.04,0,0,0,90,68.4,26,0,,2,24,49,417,869,48,547,322,97,1,57,5,40,12,5,926,0,0,,0,0,2151,1370,0,340,338,99.4,0
David de Gea,ESP,GK,Manchester Utd,30,375000,38,38,3420,38,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113,0,0,,3,0.08,0,0,0,0,0,0,0,0,90,100,38,0,,0,57,57,646,911,70.9,559,352,55,0,61,2,24,19,3,1011,0,0,,0,0,1588,732,0,381,377,99,0
Vicente Guaita,ESP,GK,Crystal Palace,34,76923,30,30,2655,29.5,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,148,0,0,,1,0.03,0,0,0,0,0,0,0,0,89,77.6,29,0,,5,38,33,763,972,78.5,714,258,59,0,84,2,21,5,2,1038,0,0,,0,0,2066,995,0,483,483,100,0
Angus Gunn,ENG,GK,Norwich City,25,25000,9,9,810,9,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,,0,0,0,0,0,0,0,0,0,0,90,23.7,9,0,,29,6,22,197,298,66.1,173,125,40,0,12,2,7,1,3,331,0,0,,0,0,476,302,0,107,106,99.1,0
Wayne Hennessey,WAL,GK,Burnley,34,11923,2,2,180,2,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,,3,1.5,0,0,0,0,0,0,0,0,90,5.3,2,0,,36,2,6,40,80,50,43,37,16,0,1,1,3,0,0,87,0,0,,0,0,158,127,0,23,23,100,0
Caoimhin Kelleher,IRL,GK,Liverpool,22,5962,2,2,180,2,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,,0,0,0,0,0,0,0,0,0,0,90,5.3,2,0,,34,7,2,81,90,90,70,20,7,0,14,0,1,1,0,94,0,0,,0,0,160,93,0,54,54,100,0
Kristoffer Klaesson,NOR,GK,Leeds United,20,10962,1,0,36,0.4,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,63,60.6,7,7,33,4,24,51,9,11,81.8,8,3,0,0,1,0,1,0,0,14,0,0,,0,0,28,11,0,4,4,100,0
Tim Krul,NED,GK,Norwich City,33,25000,29,29,2610,29,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,3,9,1,0,1,0,0,0,4,0,0,1,0,0,0,0,1,146,0,0,,5,0.17,0,0,0,0,0,0,0,0,74,56.1,15,4,19,2,18,34,730,1057,69.1,729,328,104,1,72,2,29,7,2,1144,0,0,,0,0,2202,1225,0,506,504,99.6,0
Bernd Leno,GER,GK,Arsenal,29,100000,4,4,360,4,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,0,0,0,0,0,0,0,0,0,0,52,7.7,2,1,7,14,3,4,72,111,64.9,68,43,6,0,10,1,5,1,0,125,0,0,,0,0,290,112,0,47,47,100,0
Hugo Lloris,FRA,GK,Tottenham,34,100000,38,38,3420,38,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,156,0,1,0,6,0.16,0,0,0,2,0.05,0,0,0,26,7,0,7,15,4,3,5,746,943,79.1,621,322,46,1,58,2,13,9,1,1043,0,0,,0,0,1760,873,0,373,370,99.2,0
Jonas Lossl,DEN,GK,Brentford,32,1731,2,2,180,2,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0,0,0,0,0,0,0,0,0,0,71,41.4,8,3,37,9,12,38,44,62,71,46,16,3,0,5,0,0,1,0,66,0,0,,0,0,214,140,0,36,35,97.2,0
Emiliano Martinez,ARG,GK,Aston Villa,28,47500,36,36,3240,36,0,0,0,0,0,4,0,0,0,,0,0,,,,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,8,0,0,0,0,0,164,0,1,0,3,0.08,0,0,0,1,0.03,0,0,0,72,31.5,11,2,16,18,17,26,781,1081,72.2,706,375,101,0,92,4,35,10,2,1141,1,1,100,1,0,2547,1431,0,443,439,99.1,0
Alex McCarthy,ENG,GK,Southampton,31,50000,17,17,1530,17,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,0,,1,0.06,0,0,0,0,0,0,0,0,88,90.4,32,0,,0,45,48,315,510,61.8,342,168,41,0,30,0,23,5,1,546,0,0,,0,0,910,527,0,232,229,98.7,0
Edouard Mendy,SEN,GK,Chelsea,29,51923,34,34,3060,34,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,2,3,0,0,0,0,0,1,5,0,1,3,0,0,0,1,0,131,0,0,,2,0.06,0,0,0,0,0,0,0,0,74,30.2,7,2,30,3,20,15,781,939,83.2,716,223,47,0,106,0,15,8,2,1011,0,0,,0,0,1792,725,0,528,526,99.6,0
Illan Meslier,FRA,GK,Leeds United,21,21923,38,38,3384,37.6,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,9,0,0,0,0,0,161,0,0,,2,0.05,0,0,0,0,0,0,0,0,52,22.6,1,6,23,14,13,16,1008,1377,73.2,1011,366,79,0,103,4,46,11,2,1492,2,2,100,2,0,3286,1666,1,724,723,99.9,0
Robin Olsen,SWE,GK,Aston Villa,31,19231,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,1,1,0,0,0,1,1,0,0,0,76,11.2,4,1,22,9,3,9,25,48,52.1,26,22,2,0,1,1,3,0,1,49,0,0,,0,0,58,43,0,14,13,92.9,0
Jordan Pickford,ENG,GK,Everton,27,100000,35,35,3150,35,0,0,0,0,0,2,0,0,0,,0,0,,,,0,1,0,0,1,7,2,0,2,0,1,1,0,0,0,6,0,0,0,0,0,168,0,0,,7,0.2,0,0,0,1,0.03,0,0,0,61,21.3,7,4,10,13,7,5,594,1135,52.3,737,398,134,0,84,6,52,22,4,1243,1,1,100,1,0,4042,2240,0,480,478,99.6,0
Nick Pope,ENG,GK,Burnley,29,35000,36,36,3240,36,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,2,1,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,188,0,0,,8,0.22,0,0,0,0,0,0,0,0,14,0.4,0,1,14,4,0,1,530,1078,49.2,653,425,140,1,50,12,37,11,4,1212,1,1,100,1,0,3150,1881,0,328,328,100,0
Aaron Ramsdale,ENG,GK,Arsenal,23,71154,34,34,3060,34,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,183,0,1,0,1,0.03,0,0,0,1,0.03,0,0,0,73,72.1,14,5,28,1,40,35,788,1156,68.2,880,276,83,0,88,3,46,17,4,1249,2,2,100,2,0,3537,1851,0,611,606,99.2,0
