players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Juraj Kucka,SVK,MF,Watford,34,22115,26,22,1920,21.3,1,1,1,0,0,5,1,46,11,23.9,2.16,0.52,0.02,0.09,19.7,3,74,47,28,39,423,39,9,30,46,120,50,1,1,53,49,2,10,0,1,1,235,55,58,48.7,37,1.73,5,5,2,2,0.09,0,1,0,70,36.9,4,4,32,0,35,11,488,697,70,671,26,8,0,141,1,17,36,27,1037,21,36,58.3,24,8,2563,1322,29,638,524,82.1,28
Adam Lallana,ENG,MF,Brighton,33,90385,24,18,1561,17.3,0,1,0,0,0,4,0,20,4,20,1.15,0.23,0,0,18.8,0,38,22,11,25,303,26,8,18,27,65,15,0,0,14,23,0,8,0,0,0,186,14,13,51.9,27,1.56,1,2,1,3,0.17,0,0,0,52,45.6,7,14,22,3,14,21,828,947,87.4,935,12,11,1,164,0,18,29,18,1117,19,30,63.3,20,0,3255,1461,20,865,792,91.6,66
Pierre Lees-Melou,FRA,MF,Norwich City,28,31154,33,27,2265,25.2,1,0,1,0,0,5,0,33,9,27.3,1.31,0.36,0.03,0.11,23.1,0,65,40,24,58,650,41,12,29,42,107,19,0,0,50,25,2,30,1,0,0,230,15,23,39.5,52,2.07,1,1,4,1,0.04,0,1,0,55,45.4,8,11,15,7,12,25,817,1033,79.1,1010,23,10,3,188,2,12,54,26,1271,15,33,45.5,18,1,4104,1927,10,945,829,87.7,58
Aaron Lennon,ENG,MF,Burnley,34,10577,28,17,1551,17.2,2,0,2,0,0,2,0,12,4,33.3,0.7,0.23,0.17,0.5,19.3,0,38,18,9,30,348,32,4,28,15,53,13,0,0,23,25,4,30,0,1,0,91,10,26,27.8,32,1.86,5,6,0,5,0.29,2,2,0,90,10.5,4,0,,29,1,9,254,384,66.1,375,9,1,0,64,3,7,16,32,564,15,37,40.5,18,1,1833,940,16,482,346,71.8,51
Sean Longstaff,ENG,MF,Newcastle Utd,23,962,24,15,1464,16.3,1,1,1,0,0,1,0,15,2,13.3,0.92,0.12,0.07,0.5,23.9,1,51,33,19,43,427,27,6,21,20,71,22,0,0,26,20,0,5,0,0,0,156,14,15,48.3,24,1.48,0,0,2,4,0.25,0,0,1,56,42.5,3,10,29,7,28,31,491,606,81,576,30,16,1,130,2,9,14,12,775,3,5,60,3,0,2180,743,23,507,447,88.2,22
Imran Louza,MAR,MF,Watford,22,27500,20,17,1416,15.7,0,0,0,0,0,6,0,17,4,23.5,1.08,0.25,0,0,27.1,6,51,32,20,24,345,23,6,17,48,99,22,0,0,35,17,0,19,0,0,0,192,11,17,39.3,30,1.91,1,1,2,1,0.06,0,0,0,71,51.8,17,5,6,12,18,30,536,716,74.9,632,84,39,1,91,0,13,20,13,897,13,27,48.1,14,0,2586,1259,10,488,442,90.6,16
Douglas Luiz,BRA,MF,Aston Villa,23,32692,34,31,2715,30.2,2,3,2,0,0,7,0,23,8,34.8,0.76,0.27,0.09,0.25,23.7,8,64,43,24,49,524,44,8,36,61,125,29,0,0,51,45,0,27,0,0,0,285,37,31,54.4,75,2.49,1,6,0,8,0.27,0,1,0,61,46.5,11,10,22,3,33,14,1246,1495,83.3,1314,181,113,3,173,4,26,35,13,1783,15,35,42.9,17,2,5351,2433,24,1173,1088,92.8,29
Juan Mata,ESP,MF,Manchester Utd,33,160000,7,2,235,2.6,0,0,0,0,0,0,0,5,1,20,1.91,0.38,0,0,16,0,7,6,3,2,51,1,0,1,2,9,2,0,0,2,4,2,6,0,0,0,29,0,1,0,6,2.3,0,0,0,0,0,0,0,0,52,33.5,1,9,20,8,20,14,182,211,86.3,208,3,1,0,26,2,1,4,3,240,4,5,80,5,0,908,440,6,214,192,89.7,14
Nemanja Matic,SRB,MF,Manchester Utd,32,120000,23,16,1382,15.4,0,4,0,0,0,3,0,6,1,16.7,0.39,0.07,0,0,23.4,0,34,28,10,19,232,34,6,28,32,66,31,1,0,32,7,0,5,0,0,0,165,34,21,61.8,28,1.82,0,1,2,5,0.33,0,0,0,90,81.6,31,0,,4,76,21,881,1010,87.2,980,30,25,4,168,3,5,30,21,1185,11,13,84.6,11,0,4583,2840,17,858,827,96.4,8
James McArthur,SCO,MF,Crystal Palace,33,55000,21,15,1439,16,0,3,0,0,0,4,0,9,3,33.3,0.56,0.19,0,0,19.8,0,37,26,15,25,376,34,9,25,34,71,42,0,0,31,22,3,15,0,0,0,201,33,34,49.3,29,1.81,1,1,1,3,0.19,0,0,0,10,0.6,0,2,10,11,1,0,772,927,83.3,880,47,23,1,187,1,16,26,23,1119,17,23,73.9,17,2,3914,1849,22,758,696,91.8,31
John McGinn,SCO,MF,Aston Villa,26,25000,35,35,3090,34.3,3,4,3,0,0,8,0,43,15,34.9,1.25,0.44,0.07,0.2,23.8,0,104,61,42,62,560,61,7,54,52,156,38,0,0,70,98,0,57,0,0,0,288,22,15,59.5,96,2.8,3,4,1,5,0.15,0,0,0,4,0.1,0,1,4,8,0,0,1004,1339,75,1208,131,70,7,193,8,32,58,26,1752,41,63,65.1,44,1,5315,2954,37,1164,1065,91.5,59
Kenny McLean,SCO,MF,Norwich City,29,25000,31,29,2706,30.1,1,0,1,0,0,3,0,34,6,17.6,1.13,0.2,0.03,0.17,18.9,0,41,24,17,43,516,32,7,25,55,96,55,0,0,23,45,3,26,0,1,0,229,86,69,55.5,34,1.13,0,0,3,2,0.07,0,0,0,82,90.8,26,3,21,0,31,49,782,1060,73.8,1029,31,13,1,220,3,17,40,37,1358,17,32,53.1,19,1,4154,1911,20,1109,878,79.2,69
Dwight McNeil,ENG,MF,Burnley,21,5000,38,35,3107,34.5,0,1,0,0,0,1,0,52,15,28.8,1.51,0.43,0,0,22.1,4,68,36,22,52,680,82,12,70,67,135,20,0,0,22,49,1,112,0,0,0,272,20,24,45.5,97,2.81,5,10,2,5,0.14,0,0,0,80,69.8,20,2,13,1,40,37,798,1150,69.4,1044,106,45,5,245,6,24,39,64,1597,75,137,54.7,82,5,7885,3763,62,1169,960,82.1,96
Scott McTominay,SCO,MF,Manchester Utd,24,60000,30,28,2387,26.5,1,1,1,0,0,9,0,27,7,25.9,1.02,0.26,0.04,0.14,19.4,0,69,33,33,33,490,48,11,37,47,116,65,0,0,58,47,1,8,0,1,0,286,73,36,67,45,1.7,3,2,2,6,0.23,0,0,1,88,53.8,20,0,,0,20,25,1059,1246,85,1212,34,31,1,209,5,13,33,20,1584,33,45,73.3,33,0,5967,2941,32,1104,1008,91.3,38
Nampalys Mendy,SEN,MF,Leicester City,29,55000,14,12,1032,11.5,0,0,0,0,0,3,0,1,1,100,0.09,0.09,0,0,25.3,0,16,12,6,10,155,16,4,12,13,29,9,1,0,22,21,0,0,0,0,0,111,6,10,37.5,6,0.52,0,0,1,3,0.26,0,0,0,89,98.9,37,0,,0,39,79,602,650,92.6,636,14,14,0,106,0,10,7,7,737,3,8,37.5,6,0,2658,1098,14,572,554,96.9,8
Luka Milivojevic,SRB,MF,Crystal Palace,30,55000,15,9,774,8.6,0,0,0,0,0,1,0,8,0,0,0.93,0,0,,26.6,4,21,13,13,10,137,9,1,8,9,30,21,0,0,17,12,0,15,0,1,1,96,17,8,68,16,1.86,0,1,0,1,0.12,0,0,0,36,24.9,4,15,11,8,27,6,387,485,79.8,434,51,23,0,52,1,4,15,13,555,2,3,66.7,2,0,1062,474,1,338,330,97.6,5
Joao Moutinho,POR,MF,Wolves,34,100000,35,34,2970,33,2,1,2,0,0,4,0,20,7,35,0.61,0.21,0.1,0.29,23.7,4,76,54,27,71,608,52,8,44,48,124,35,0,0,49,23,0,32,0,1,0,356,18,27,40,68,2.06,1,0,3,4,0.12,0,0,0,45,1.3,0,1,45,5,0,3,1671,1983,84.3,1807,176,88,3,337,3,21,43,34,2259,17,25,68,21,0,6357,3246,27,1576,1478,93.8,45
Marvelous Nakamba,ZIM,MF,Aston Villa,27,32500,16,10,904,10,0,0,0,0,0,5,0,0,0,,0,0,,,,0,31,19,14,21,209,16,4,12,23,54,16,0,0,22,10,0,1,0,0,0,107,11,11,50,6,0.6,0,1,0,0,0,0,0,0,85,47.3,16,1,30,2,26,26,319,374,85.3,365,9,8,0,49,1,3,15,6,476,7,10,70,7,1,1203,457,9,281,261,92.9,4
Ruben Neves,POR,MF,Wolves,24,50000,33,31,2661,29.6,4,2,4,0,0,9,0,42,16,38.1,1.42,0.54,0.1,0.25,26,4,67,43,22,68,541,43,6,37,55,122,54,1,0,33,18,1,21,0,0,0,311,26,23,53.1,55,1.86,1,2,2,3,0.1,0,0,0,56,26.4,5,7,24,17,8,19,1593,1925,82.8,1856,69,59,9,323,12,39,62,30,2235,28,39,71.8,31,2,6333,3130,23,1653,1590,96.2,27
Mark Noble,ENG,MF,West Ham,34,50000,11,3,332,3.7,1,0,0,1,2,0,0,0,0,,0,0,,,,0,11,7,2,2,53,4,1,3,5,16,3,0,0,5,7,0,0,0,0,0,31,1,1,50,5,1.36,0,0,0,0,0,0,0,0,72,48.1,10,3,30,1,13,40,249,276,90.2,265,11,8,0,25,1,5,4,3,305,1,1,100,1,0,817,347,2,246,237,96.3,3
Mathias Normann,NOR,MF,Norwich City,25,20385,23,20,1645,18.3,1,2,1,0,0,6,0,26,5,19.2,1.42,0.27,0.04,0.2,26.6,6,38,24,11,24,324,26,11,15,25,63,43,0,0,49,30,1,15,0,1,0,189,32,15,68.1,34,1.86,5,4,3,3,0.16,0,0,0,87,89.3,30,0,,0,44,51,537,778,69,719,59,30,5,120,3,27,41,20,991,20,28,71.4,20,0,3002,1531,21,623,572,91.8,3
Christian Norgaard,DEN,MF,Brentford,27,20000,35,35,3054,33.9,3,4,3,0,0,8,0,27,8,29.6,0.8,0.24,0.11,0.38,13.1,0,130,80,54,51,691,59,10,49,85,215,57,1,0,73,38,0,14,0,0,0,439,61,72,45.9,49,1.44,3,1,1,6,0.18,1,0,0,84,26.9,10,0,,0,21,11,1318,1652,79.8,1564,88,43,3,278,2,25,70,29,2053,13,24,54.2,14,0,4235,2088,26,1245,1123,90.2,34
Frank Onyeka,NGA,MF,Brentford,23,18462,20,12,1045,11.6,0,0,0,0,0,4,0,16,5,31.3,1.38,0.43,0,0,17.5,0,30,16,5,15,253,20,2,18,15,45,13,0,0,43,27,0,7,1,0,0,95,15,25,37.5,17,1.46,1,4,0,1,0.09,0,1,0,19,3.9,0,7,19,11,11,0,261,328,79.6,319,9,1,0,62,0,6,13,9,469,9,14,64.3,10,0,1652,864,18,354,272,76.8,30
Thomas Partey,GHA,MF,Arsenal,28,200000,24,23,2028,22.5,2,1,2,0,0,6,0,44,9,20.5,1.95,0.4,0.05,0.22,21.1,2,55,41,18,23,291,28,5,23,33,88,32,1,0,40,22,0,3,0,0,0,231,23,27,46,51,2.26,5,3,0,3,0.13,0,0,0,59,48.1,10,13,29,1,19,35,1016,1183,85.9,1160,23,21,2,154,3,17,35,16,1425,29,40,72.5,30,4,4802,2504,20,1044,996,95.4,14
Kalvin Phillips,ENG,MF,Leeds United,25,4423,20,18,1596,17.7,0,1,0,0,0,4,0,15,3,20,0.85,0.17,0,0,23.9,1,65,43,18,30,504,42,10,32,34,99,30,1,0,43,24,0,7,0,0,0,215,23,26,46.9,23,1.3,0,0,2,4,0.23,0,0,0,5,0.1,0,1,5,8,0,0,769,944,81.5,898,46,32,0,140,2,18,34,12,1172,8,13,61.5,10,0,3178,1191,18,744,710,95.4,17
Jacob Ramsey,ENG,MF,Aston Villa,20,7500,34,29,2467,27.4,6,1,6,0,0,6,0,34,11,32.4,1.24,0.4,0.18,0.55,17.8,0,66,41,22,37,547,41,7,34,38,104,27,0,0,41,52,1,16,0,0,0,178,22,35,38.6,63,2.3,3,8,1,3,0.11,0,0,0,49,36.1,3,12,21,3,18,28,898,1042,86.2,1025,17,8,1,174,2,13,27,32,1388,24,40,60,27,2,6578,3665,45,1143,992,86.8,80
Declan Rice,ENG,MF,West Ham,22,3077,36,35,3179,35.3,1,4,1,0,0,8,0,26,8,30.8,0.74,0.23,0.04,0.13,21.7,1,77,53,28,32,476,60,25,35,95,172,53,1,0,35,21,0,37,0,0,0,366,48,28,63.2,59,1.67,2,1,3,8,0.23,0,0,0,13,0.7,0,2,13,14,0,0,1950,2151,90.7,2121,30,23,1,309,6,19,30,22,2508,37,61,60.7,41,2,12848,6605,29,1839,1768,96.1,35
Jairo Riedewald,NED,MF,Crystal Palace,24,55000,3,1,118,1.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,2,2,2,2,11,4,0,4,0,2,2,0,0,1,0,0,0,0,0,0,12,0,2,0,3,2.29,0,0,0,0,0,0,0,0,74,39.1,13,4,25,12,15,36,45,54,83.3,49,5,2,0,9,0,1,2,2,66,0,2,0,0,0,187,73,1,46,41,89.1,3
Rodri,ESP,MF,Manchester City,25,121154,33,33,2884,32,7,2,7,0,0,5,0,45,14,31.1,1.4,0.44,0.16,0.5,18.2,0,65,46,29,32,481,48,6,42,40,105,54,0,0,50,37,0,8,0,0,0,415,91,33,73.4,75,2.34,2,1,3,3,0.09,0,0,0,73,66.2,16,4,37,2,25,37,2587,2796,92.5,2755,41,35,2,464,5,19,39,15,3096,9,18,50,10,1,9213,4710,28,2457,2382,96.9,61
Oriol Romeu,ESP,MF,Southampton,29,65000,36,34,2889,32.1,2,2,2,0,0,9,0,25,4,16,0.78,0.12,0.08,0.5,20.9,0,81,54,23,54,564,45,9,36,67,148,52,0,0,55,26,0,7,0,0,0,412,73,58,55.7,67,2.09,1,0,2,4,0.12,0,0,0,82,71.8,21,3,28,0,40,41,1396,1685,82.8,1649,36,34,4,346,5,24,35,29,1996,24,36,66.7,24,0,6140,3203,20,1330,1263,95,40
Lukas Rupp,GER,MF,Norwich City,30,22500,19,7,769,8.5,0,0,0,0,0,0,0,12,2,16.7,1.4,0.23,0,0,19.4,0,10,8,4,10,172,8,1,7,17,27,4,1,0,11,11,0,4,0,0,0,94,6,8,42.9,27,3.16,3,1,0,0,0,0,0,0,89,96.1,36,0,,1,37,40,327,393,83.2,390,3,1,2,71,4,10,13,12,495,13,18,72.2,13,1,1702,853,23,389,348,89.5,35
Albert Sambi Lokonga,BEL,MF,Arsenal,21,50000,19,12,1134,12.6,0,0,0,0,0,5,0,20,8,40,1.59,0.63,0,0,25,0,22,13,9,6,138,18,8,10,23,45,18,2,0,17,17,0,3,0,0,0,124,21,23,47.7,34,2.7,0,1,1,0,0,0,0,0,71,47.7,17,6,17,14,33,16,719,802,89.7,773,29,25,1,116,1,8,19,5,930,4,7,57.1,4,0,3861,2091,7,717,689,96.1,17
Morgan Sanson,FRA,MF,Aston Villa,26,48077,10,3,356,4,0,0,0,0,0,0,0,1,0,0,0.25,0,0,,33.8,0,12,8,4,2,135,15,0,15,11,23,2,0,0,6,15,0,6,0,0,0,34,2,3,40,3,0.76,0,0,1,0,0,0,0,0,88,48.9,16,0,,0,11,36,121,157,77.1,156,1,0,0,32,0,2,8,6,219,6,7,85.7,6,0,1064,546,11,162,139,85.8,7
Jonjo Shelvey,ENG,MF,Newcastle Utd,29,70000,24,22,1983,22,2,1,2,0,0,7,1,29,14,48.3,1.32,0.64,0.07,0.14,26.3,6,28,14,10,22,287,28,7,21,35,63,33,2,1,20,11,0,13,0,0,0,213,13,14,48.1,42,1.91,1,0,3,2,0.09,0,0,1,16,0.5,0,1,16,1,0,0,733,914,80.2,835,79,32,2,120,3,13,19,6,1098,9,12,75,11,0,2848,1105,9,691,646,93.5,7
Moussa Sissoko,FRA,MF,Watford,31,80000,36,36,3220,35.8,2,1,2,0,0,5,0,25,8,32,0.7,0.22,0.08,0.25,16.4,0,59,40,19,16,505,53,12,41,44,103,72,0,0,45,16,2,24,0,0,0,385,85,58,59.4,62,1.73,4,1,3,4,0.11,1,0,1,75,39.5,12,4,34,1,21,13,945,1185,79.7,1153,32,17,1,228,3,17,51,30,1532,45,65,69.2,47,5,5085,2730,53,998,845,84.7,68
Oliver Skipp,ENG,MF,Tottenham,20,15000,18,14,1350,15,0,0,0,0,0,6,0,4,1,25,0.27,0.07,0,0,24.1,0,33,18,12,16,275,25,9,16,19,52,14,0,0,20,23,1,5,0,0,0,133,12,14,46.2,22,1.47,0,1,0,3,0.2,0,0,0,33,3.9,0,2,10,12,3,5,736,822,89.5,804,18,17,1,97,0,8,24,16,952,2,3,66.7,2,0,3122,1712,13,730,690,94.5,13
Tomas Soucek,CZE,MF,West Ham,26,67308,35,34,3062,34,5,1,5,0,0,3,0,45,11,24.4,1.32,0.32,0.11,0.45,11.9,0,68,41,25,43,483,49,15,34,55,123,119,1,0,49,20,4,13,0,0,0,331,140,143,49.5,34,1,0,1,1,4,0.12,0,0,0,58,32.2,6,7,26,7,19,27,1035,1332,77.7,1314,18,14,1,253,0,24,30,30,1745,8,20,40,9,1,3994,1767,17,1276,1035,81.1,58
Boubakary Soumare,FRA,MF,Leicester City,22,99038,19,12,1102,12.2,0,1,0,0,0,0,0,6,2,33.3,0.49,0.16,0,0,17.4,0,24,13,6,12,250,13,2,11,17,41,19,0,0,20,21,0,5,0,0,0,108,29,14,67.4,15,1.23,2,0,1,2,0.16,0,0,0,89,73,27,0,,8,41,44,449,551,81.5,547,4,3,3,129,1,7,22,8,692,9,18,50,10,1,1938,803,20,548,488,89.1,21
Dale Stephens,ENG,MF,Burnley,32,37500,3,1,124,1.4,0,0,0,0,0,1,0,1,0,0,0.73,0,0,,21,0,7,2,1,4,41,4,1,3,2,9,1,0,0,4,1,0,0,0,0,0,19,1,2,33.3,2,1.45,0,1,0,0,0,0,0,0,74,23.7,8,2,28,11,8,19,44,57,77.2,57,0,0,0,14,0,1,2,1,74,0,0,,0,0,116,34,0,42,36,85.7,1
Youri Tielemans,BEL,MF,Leicester City,24,33077,32,29,2631,29.2,6,4,4,2,2,3,0,57,15,26.3,1.95,0.51,0.07,0.27,24.4,0,67,49,30,64,489,47,13,34,41,108,42,2,0,53,50,0,24,0,4,0,261,30,27,52.6,84,2.87,4,2,5,12,0.41,0,0,1,87,56,18,0,,4,33,21,1437,1746,82.3,1655,91,48,5,320,7,27,67,33,2084,17,28,60.7,18,0,4484,2616,36,1627,1506,92.6,79
Andros Townsend,ENG,MF,Everton,30,21538,21,17,1455,16.2,3,2,2,1,1,3,0,20,9,45,1.24,0.56,0.1,0.22,21.2,4,29,15,8,27,302,44,3,41,21,50,6,0,0,10,44,1,56,0,1,0,120,5,22,18.5,54,3.34,1,4,1,4,0.25,0,0,0,53,31.2,5,10,22,1,9,10,342,487,70.2,429,58,20,1,95,1,15,13,20,715,24,43,55.8,26,0,2805,1483,30,598,429,71.7,65
James Ward-Prowse,ENG,MF,Southampton,26,45000,36,36,3215,35.7,10,5,6,4,4,3,1,51,20,39.2,1.43,0.56,0.12,0.3,26.7,23,47,26,13,52,551,65,15,50,60,107,44,1,0,30,30,0,68,0,0,0,414,34,40,45.9,113,3.16,0,1,3,7,0.2,0,0,0,84,86.3,28,2,23,0,46,48,1671,2132,78.4,1803,329,106,1,253,4,29,37,31,2454,15,25,60,16,0,4876,2196,27,1512,1397,92.4,39
Ashley Westwood,ENG,MF,Burnley,31,35962,27,26,2287,25.4,0,3,0,0,0,7,0,14,1,7.1,0.55,0.04,0,0,20,0,30,23,13,16,434,19,9,10,43,73,20,0,0,32,25,0,37,0,1,0,268,10,21,32.3,55,2.16,1,1,1,7,0.28,0,0,0,90,84.2,32,0,,2,52,35,859,1226,70.1,1057,169,52,3,148,14,20,42,29,1405,11,20,55,11,0,2899,1326,15,899,820,91.2,23
Joe Willock,ENG,MF,Newcastle Utd,21,20000,29,24,2038,22.6,2,0,2,0,0,0,0,34,10,29.4,1.5,0.44,0.06,0.2,16.1,0,69,44,22,40,535,38,8,30,30,99,16,0,0,41,32,0,13,0,0,0,147,19,36,34.5,46,2.03,9,5,2,4,0.18,1,2,0,77,40.5,11,2,18,0,16,32,438,542,80.8,522,20,2,0,117,1,9,14,15,842,30,68,44.1,39,4,3542,1983,39,649,495,76.3,62
Harry Winks,ENG,MF,Tottenham,25,50000,19,9,912,10.1,0,1,0,0,0,2,0,3,1,33.3,0.3,0.1,0,0,24.2,0,17,7,8,8,145,18,4,14,19,36,8,0,0,12,16,0,9,0,0,0,75,5,7,41.7,23,2.27,1,2,0,4,0.39,0,0,0,43,37.5,5,18,19,3,20,22,573,662,86.6,630,32,20,6,84,2,6,23,6,756,5,11,45.5,6,0,2585,1095,12,597,581,97.3,12
Martin odegaard,NOR,MF,Arsenal,22,137308,36,32,2785,30.9,7,4,7,0,0,4,0,53,21,39.6,1.71,0.68,0.13,0.33,20.1,12,43,25,12,27,574,18,1,17,22,65,12,1,0,32,23,3,26,0,2,0,230,17,25,40.5,134,4.33,6,2,1,12,0.39,0,0,0,,,,,,,,,1355,1598,84.8,1476,122,32,8,247,7,15,54,34,1870,22,42,52.4,23,2,6775,3612,49,1589,1391,87.5,117
Fernandinho,BRA,MFDF,Manchester City,36,150000,19,10,964,10.7,2,1,2,0,0,1,0,18,3,16.7,1.68,0.28,0.11,0.67,16.4,0,23,16,6,13,130,6,3,3,14,37,23,1,0,22,16,0,4,0,0,0,109,21,15,58.3,30,2.8,0,2,0,4,0.37,0,0,0,51,28.2,7,9,17,19,34,12,730,806,90.6,800,6,5,5,104,1,5,21,6,906,8,9,88.9,8,0,3121,1510,9,740,720,97.3,16
Pascal Grob,GER,MFDF,Brighton,30,50000,29,24,2038,22.6,2,4,2,0,1,1,0,23,7,30.4,1.02,0.31,0.09,0.29,16.7,1,31,21,12,22,401,39,7,32,16,47,24,0,0,19,11,4,66,0,0,0,184,18,30,37.5,91,4.02,1,0,0,7,0.31,1,0,0,70,59.6,14,5,18,6,19,24,984,1315,74.8,1121,194,57,5,163,8,21,36,47,1506,10,19,52.6,11,1,4207,1915,24,1156,993,85.9,99
Isaac Hayden,ENG,MFDF,Newcastle Utd,26,21923,14,12,1002,11.1,1,0,1,0,0,5,0,6,1,16.7,0.54,0.09,0.17,1,12.8,0,34,18,8,15,194,22,9,13,20,54,30,0,0,24,9,0,5,0,0,0,77,24,15,61.5,6,0.54,0,0,0,0,0,0,0,0,72,29.3,9,2,11,3,11,25,255,318,80.2,302,16,9,0,67,0,10,8,11,461,8,13,61.5,8,0,845,362,10,295,242,82,10
Alex Iwobi,NGA,MFDF,Everton,25,50000,28,22,2035,22.6,2,2,2,0,0,1,0,24,6,25,1.06,0.27,0.08,0.33,16.4,0,46,28,20,27,519,45,4,41,40,86,23,0,0,21,10,3,30,0,1,0,148,9,36,20,62,2.74,0,0,1,6,0.27,0,0,0,73,59.5,15,6,23,7,27,38,606,785,77.2,732,53,2,6,137,4,10,39,24,1052,32,58,55.2,37,9,4013,2306,33,872,667,76.5,86
Robin Koch,GER,MFDF,Leeds United,25,46154,20,17,1574,17.5,0,0,0,0,0,3,0,12,1,8.3,0.69,0.06,0,0,14.8,0,31,20,12,24,299,33,11,22,34,65,46,0,0,25,11,0,2,0,0,0,168,54,47,53.5,18,1.03,0,1,0,1,0.06,0,0,0,46,2.7,1,1,1,2,0,5,531,681,78,658,23,8,0,129,1,11,22,16,862,4,5,80,4,0,1558,702,7,536,495,92.4,14
Ruben Loftus-Cheek,ENG,MFDF,Chelsea,25,60000,24,13,1394,15.5,0,2,0,0,0,1,0,19,6,31.6,1.23,0.39,0,0,17.4,0,31,20,5,11,251,21,6,15,15,46,22,0,0,24,51,2,10,0,0,0,156,41,12,77.4,52,3.36,3,3,3,7,0.45,0,0,1,68,12,4,2,25,24,3,7,877,968,90.6,939,29,14,3,153,1,7,20,7,1184,35,53,66,37,3,4797,3068,38,978,897,91.7,46
James Milner,ENG,MFDF,Liverpool,35,140000,24,9,853,9.5,0,1,0,0,0,2,0,10,2,20,1.06,0.21,0,0,22.8,0,35,23,15,20,172,20,6,14,22,57,22,0,0,17,20,0,20,0,0,0,109,14,11,56,31,3.27,1,0,0,1,0.11,0,0,0,65,24.7,8,2,23,1,12,10,623,749,83.2,691,58,16,2,83,2,9,20,19,875,3,5,60,3,0,1926,1005,10,645,599,92.9,31
Wilfred Ndidi,NGA,MFDF,Leicester City,24,75000,19,18,1618,18,0,0,0,0,0,4,0,15,4,26.7,0.83,0.22,0,0,18,0,70,47,21,26,410,32,6,26,45,115,69,0,0,34,26,1,2,0,2,0,249,56,34,62.2,14,0.78,0,1,1,2,0.11,0,0,0,54,14.2,1,3,14,6,6,11,757,919,82.4,897,22,20,0,165,2,16,24,20,1180,7,10,70,7,0,2943,1184,14,700,668,95.4,12
Saul Niguez,ESP,MFDF,Chelsea,26,198269,10,5,480,5.3,0,0,0,0,0,1,0,5,1,20,0.94,0.19,0,0,21.8,0,15,8,6,9,103,13,3,10,14,29,7,1,0,13,1,0,6,0,0,0,44,9,13,40.9,8,1.5,0,0,0,0,0,0,0,0,40,24.4,4,13,14,5,18,18,302,348,86.8,319,29,11,0,33,0,4,12,7,428,3,6,50,3,0,884,352,11,319,293,91.8,20
Jakob Sorensen,DEN,MFDF,Norwich City,23,10000,10,6,604,6.7,0,0,0,0,0,0,0,5,1,20,0.75,0.15,0,0,14.4,0,25,16,7,8,125,12,4,8,15,40,15,0,0,7,1,0,0,0,1,0,56,14,12,53.8,2,0.3,0,0,1,0,0,0,0,0,67,21.5,4,1,8,7,11,8,247,300,82.3,291,9,5,0,33,0,3,10,3,371,4,4,100,4,1,1132,581,3,244,227,93,3
Granit Xhaka,SUI,MFDF,Arsenal,28,100000,27,27,2327,25.9,1,2,1,0,0,10,1,27,5,18.5,1.04,0.19,0.04,0.2,22.8,1,39,24,13,23,300,36,8,28,31,70,28,0,0,35,23,2,18,0,1,0,248,36,29,55.4,79,3.06,2,0,2,3,0.12,0,0,0,17,9.2,0,18,14,16,3,4,1346,1548,87,1491,57,36,3,193,1,9,45,28,1767,18,25,72,18,3,5584,2806,24,1369,1297,94.7,59
Dele Alli,ENG,MFFW,Tottenham,25,100000,10,8,657,7.3,1,0,0,1,1,1,0,4,2,50,0.55,0.27,0,0,18.2,0,19,7,5,12,209,25,5,20,17,36,12,0,0,13,15,2,3,1,0,0,46,11,13,45.8,8,1.1,0,3,0,1,0.14,0,1,0,66,19.2,5,2,11,9,6,13,167,214,78,202,12,6,0,42,1,2,11,7,331,5,18,27.8,7,2,908,446,18,262,199,76,31
Miguel Almiron,PAR,MFFW,Newcastle Utd,27,42308,30,19,1716,19.1,1,0,1,0,0,2,0,32,7,21.9,1.68,0.37,0.03,0.14,18.7,0,57,33,13,34,432,22,1,21,25,82,12,0,0,20,27,9,22,0,0,0,122,5,18,21.7,45,2.36,3,2,1,5,0.26,1,0,0,57,50.2,5,11,21,6,16,32,406,505,80.4,496,9,2,1,86,2,7,14,20,742,18,37,48.6,24,2,3263,1485,33,661,476,72,62
